RollNumber,DOB - Year (group),EntryGrade (group),Major (group),DistanceToHanoi,EnglishAverageGrade
00609,1989.0,63.0,1.0,92.0,5.865116279
00610,1989.0,61.0,1.0,49.0,3.429885057
00611,1989.0,59.0,1.0,0.0,6.4
00612,1989.0,63.0,1.0,0.0,5.6
00613,1986.0,59.0,1.0,0.0,7.67
00614,1989.0,65.0,1.0,0.0,5.3
00615,1989.0,57.0,1.0,0.0,6.7
00616,1988.0,57.0,1.0,0.0,6.43
00617,1989.0,59.0,1.0,0.0,6.4
00618,1985.0,57.0,1.0,117.0,5.6
00619,1989.0,83.0,1.0,316.0,7.13
00621,1989.0,58.0,1.0,55.0,5.97
00622,1989.0,62.0,1.0,125.0,4.453424658
00623,1989.0,64.0,1.0,65.0,6.83
00624,1989.0,58.0,1.0,80.0,6.77
00625,1989.0,61.0,1.0,41.0,6.02
00626,1989.0,67.0,1.0,0.0,4.9
00628,1988.0,70.0,1.0,109.0,5.15
00629,1989.0,90.0,1.0,103.0,7.4
00630,1989.0,61.0,1.0,0.0,6.8
00631,1989.0,57.0,1.0,0.0,4.117808219
00632,1989.0,65.0,1.0,0.0,7.6
00633,1988.0,75.0,1.0,80.0,5.8
00634,1989.0,63.0,1.0,316.0,6.9
00635,1989.0,63.0,1.0,0.0,7.0
00636,1989.0,58.0,1.0,0.0,6.6
00637,1988.0,64.0,1.0,0.0,5.138461538
00638,1990.0,72.0,1.0,79.0,7.45
00640,1989.0,58.0,1.0,80.0,5.134482759
00641,1989.0,61.0,1.0,0.0,6.03
00642,1989.0,73.0,1.0,0.0,6.73
00643,1989.0,57.0,1.0,0.0,6.7
00644,1989.0,58.0,1.0,49.0,2.65
00645,1989.0,65.0,1.0,0.0,7.7
00647,1989.0,62.0,1.0,26.0,5.6
00648,1986.0,76.0,1.0,0.0,6.77
00649,1989.0,58.0,1.0,0.0,4.855555556
00651,1989.0,63.0,1.0,122.0,6.83
00652,1988.0,59.0,1.0,0.0,5.8
00653,1989.0,61.0,1.0,0.0,6.47
00654,1989.0,69.0,1.0,0.0,5.6
00655,1989.0,58.0,1.0,0.0,5.9
00656,1989.0,60.0,1.0,0.0,6.03
00657,1989.0,62.0,1.0,49.0,6.83
00658,1989.0,58.0,1.0,0.0,5.7
00659,1985.0,65.0,1.0,0.0,7.53
00660,1988.0,58.0,1.0,360.0,4.868493151
00661,1989.0,75.0,1.0,80.0,7.37
00662,1989.0,69.0,1.0,0.0,6.73
00663,1989.0,71.0,1.0,0.0,7.07
00664,1989.0,60.0,1.0,0.0,4.968493151
00666,1989.0,72.0,1.0,87.0,6.5
00668,1990.0,64.0,1.0,125.0,8.2
00669,1986.0,63.0,1.0,0.0,7.13
00672,1989.0,60.0,1.0,0.0,5.3
00673,1988.0,85.0,1.0,80.0,6.53
00674,1988.0,62.0,1.0,33.0,4.827906977
00675,1989.0,60.0,1.0,125.0,5.97
00676,1989.0,62.0,1.0,125.0,6.33
00677,1989.0,64.0,1.0,0.0,0.0
